id;title;year_month_id;shaft_id
1;84;1;1
2;85;1;1
3;51;1;1
4;87 (ГПР);1;1
5;6  (ГПР);1;1
6;2;1;1
7;3;1;1
8;8;1;1
9;52;1;1
10;70;1;1
11;54 (ГПР);1;1
12;9;1;1
13;23;1;1
14;21;1;1
15;14;1;1
16;1;1;1
17;10;1;1
18;4;1;1
19;5;1;1
20;7;1;1
21;31 (ГПР);1;1
22;10 (маломощный);1;1
23;Токсейтов Б. Башаров О.;1;1
24;до портала;1;1
25;Махамбетов Е.;1;1
26;от портала до перегруза;1;1
27;Попутка;1;1
28;ГПР Садыков К.;1;1
29;Северный Карашошак ;1;1
30;Отвал ок.р;1;1
31;Шлакоотвал;1;1
32;ГПР Жаксылыков;1;1
33;ГПР Атабаев;1;1
34;20;1;1
